emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,transcription_ASR,file_path
neutral,neutral,neutral,0.8197104930877686,also I was the point person on my companys transition from the KL-5 to GR-6 system.,"Also, I was the point person on my company's transition from the KL5 to GR6 systems.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt0.wav
neutral,neutral,neutral,0.5958280563354492,You mustve had your hands full.,You must have had your hands full.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt1.wav
neutral,neutral,neutral,0.7694302797317505,That I did. That I did.,That I did. That I did.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt2.wav
neutral,neutral,neutral,0.8983920216560364,So lets talk a little bit about your duties.,So let's talk a little bit about your duties.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt3.wav
surprise,positive,neutral,0.7296686768531799,My duties?  All right.,My duties. Alright.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt4.wav
neutral,neutral,neutral,0.7288491725921631,"Now youll be heading a whole division, so youll have a lot of duties.",be heading a whole division so you have a lot of duties.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt5.wav
neutral,neutral,neutral,0.8731411695480347,I see.,I see but there'll be perhaps 30 people on the,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt6.wav
neutral,neutral,neutral,0.8048568367958069,But therell be perhaps 30 people under you so you can dump a certain amount on them.,I see. But there'll be perhaps 30 people on the use so you can dump a certain amount on them.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt7.wav
neutral,neutral,positive,0.8789843320846558,Good to know.,Good to know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt8.wav
neutral,neutral,neutral,0.5175981521606445,We can go into detail,We could go into a deep...,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt9.wav
fear,negative,neutral,0.4601094126701355,No dont I beg of you!,"No, no, I beg of you.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt10.wav
neutral,neutral,positive,0.9212058186531067,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.","All right then. We'll have a definite answer for you on Monday. But I think I can say with some confidence, you'll fit in well here.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt11.wav
surprise,positive,positive,0.5691802501678467,Really?!,Really? Absolutely.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt12.wav
neutral,neutral,positive,0.9201928973197937,Absolutely.  You can relax,"You can relax if you did great. Yeah, I got to say.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt13.wav
surprise,negative,neutral,0.8811965584754944,But then who? The waitress I went out with last month?,The waitress I went out with last month?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt0.wav
sadness,negative,neutral,0.4949114918708801,You know? Forget it!,"Yeah, forget it.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt1.wav
surprise,negative,neutral,0.5151922702789307,"No-no-no-no, no! Who, who were you talking about?","You don't forget it. No, no, no, no. Who are you talking about? I don't.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt2.wav
fear,negative,negative,0.6315407156944275,"No, I-I-I-I don't, I actually don't know",And I actually don't know who I'm talking about.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt3.wav
neutral,neutral,positive,0.48211997747421265,Ok!,OK,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt4.wav
neutral,neutral,neutral,0.627975583076477,"All right, well...",Whatever.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt5.wav
neutral,neutral,neutral,0.6014468669891357,"Yeah, sure!","Sure. Ok,",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt8.wav
