emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,transcription_ASR,WER,file_path
neutral,neutral,neutral,0.8197103142738342,also I was the point person on my companys transition from the KL-5 to GR-6 system.,"Also, I was the point person on my company's transition from the KL5 to GR6 systems.",0.125,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt0.wav
neutral,neutral,neutral,0.595828115940094,You mustve had your hands full.,You must have had your hands full.,0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt1.wav
neutral,neutral,neutral,0.7694304585456848,That I did. That I did.,That I did. That I did.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt2.wav
neutral,neutral,neutral,0.8983921408653259,So lets talk a little bit about your duties.,So let's talk a little bit about your duties.,0.1111111111111111,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt3.wav
surprise,positive,neutral,0.729668378829956,My duties?  All right.,My duties. Alright.,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt4.wav
neutral,neutral,neutral,0.7288494110107422,"Now youll be heading a whole division, so youll have a lot of duties.",be heading a whole division so you have a lot of duties.,0.21428571428571427,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt5.wav
neutral,neutral,neutral,0.8731411695480347,I see.,I see but there'll be perhaps 30 people on the,4.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt6.wav
neutral,neutral,neutral,0.8048561811447144,But therell be perhaps 30 people under you so you can dump a certain amount on them.,I see. But there'll be perhaps 30 people on the use so you can dump a certain amount on them.,0.35294117647058826,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt7.wav
neutral,neutral,positive,0.8789846897125244,Good to know.,Good to know.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt8.wav
neutral,neutral,neutral,0.5175970792770386,We can go into detail,We could go into a deep...,0.6,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt9.wav
fear,negative,neutral,0.46010854840278625,No dont I beg of you!,"No, no, I beg of you.",0.16666666666666666,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt10.wav
neutral,neutral,positive,0.9212059378623962,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.","All right then. We'll have a definite answer for you on Monday. But I think I can say with some confidence, you'll fit in well here.",0.07692307692307693,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt11.wav
surprise,positive,positive,0.5691781640052795,Really?!,Really? Absolutely.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt12.wav
neutral,neutral,positive,0.9201929569244385,Absolutely.  You can relax,"You can relax if you did great. Yeah, I got to say.",2.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt13.wav
surprise,negative,neutral,0.8811968564987183,But then who? The waitress I went out with last month?,The waitress I went out with last month?,0.2727272727272727,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt0.wav
sadness,negative,neutral,0.49491095542907715,You know? Forget it!,"Yeah, forget it.",0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt1.wav
surprise,negative,neutral,0.5151923298835754,"No-no-no-no, no! Who, who were you talking about?","You don't forget it. No, no, no, no. Who are you talking about? I don't.",1.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt2.wav
