emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,file_path
neutral,neutral,neutral,0.8846064805984497,also I was the point person on my companys transition from the KL-5 to GR-6 system.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt0.wav
neutral,neutral,neutral,0.5283544659614563,You mustve had your hands full.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt1.wav
neutral,neutral,neutral,0.7694304585456848,That I did. That I did.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt2.wav
neutral,neutral,neutral,0.9068790674209595,So lets talk a little bit about your duties.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt3.wav
surprise,positive,neutral,0.6957294940948486,My duties?  All right.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt4.wav
neutral,neutral,neutral,0.7517946362495422,"Now youll be heading a whole division, so youll have a lot of duties.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt5.wav
neutral,neutral,neutral,0.7033473253250122,I see.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt6.wav
neutral,neutral,neutral,0.8066396713256836,But therell be perhaps 30 people under you so you can dump a certain amount on them.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt7.wav
neutral,neutral,positive,0.8789846897125244,Good to know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt8.wav
neutral,neutral,neutral,0.7607965469360352,We can go into detail,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt9.wav
fear,negative,negative,0.6080566644668579,No dont I beg of you!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt10.wav
neutral,neutral,positive,0.9158545732498169,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt11.wav
surprise,positive,neutral,0.5650410056114197,Really?!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt12.wav
neutral,neutral,positive,0.748534619808197,Absolutely.  You can relax,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia0_utt13.wav
surprise,negative,neutral,0.7113825678825378,But then who? The waitress I went out with last month?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt0.wav
sadness,negative,neutral,0.4916726052761078,You know? Forget it!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt1.wav
surprise,negative,negative,0.8354199528694153,"No-no-no-no, no! Who, who were you talking about?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt2.wav
